2025-07-17 08:38:33 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log, handler ID: 9
2025-07-17 08:38:33 | INFO | src.anquant.py.util.logging | Logging initialized for angelone (type: general, file: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log)
2025-07-17 08:38:33 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:33 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:33 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-17.log
2025-07-17 08:41:25 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log, handler ID: 9
2025-07-17 08:41:25 | INFO | src.anquant.py.util.logging | Logging initialized for angelone (type: general, file: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log)
2025-07-17 08:41:26 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:26 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:26 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-17.log
2025-07-17 08:42:31 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log, handler ID: 9
2025-07-17 08:42:31 | INFO | src.anquant.py.util.logging | Logging initialized for angelone (type: general, file: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log)
2025-07-17 08:42:31 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:31 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:31 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-17.log
2025-07-17 08:52:38 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log, handler ID: 9
2025-07-17 08:52:38 | INFO | src.anquant.py.util.logging | Logging initialized for angelone (type: general, file: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log)
2025-07-17 08:52:38 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:38 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:38 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-17.log
2025-07-17 08:55:45 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log, handler ID: 9
2025-07-17 08:55:45 | INFO | src.anquant.py.util.logging | Logging initialized for angelone (type: general, file: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log)
2025-07-17 08:55:45 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:45 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:45 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-17.log
2025-07-17 09:03:17 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log, handler ID: 9
2025-07-17 09:03:17 | INFO | src.anquant.py.util.logging | Logging initialized for angelone (type: general, file: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log)
2025-07-17 09:03:17 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:17 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:17 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-17.log
2025-07-17 09:05:03 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log, handler ID: 9
2025-07-17 09:05:03 | INFO | src.anquant.py.util.logging | Logging initialized for angelone (type: general, file: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-17.log)
2025-07-17 09:05:03 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:03 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:03 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-17.log
