2025-07-17 08:38:30 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 08:38:30 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 08:38:30 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:30 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:30 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 08:41:24 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 08:41:24 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 08:41:24 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:24 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:24 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 08:42:30 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 08:42:30 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 08:42:30 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:30 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:30 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 08:52:37 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 08:52:37 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 08:52:37 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:37 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:37 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 08:55:43 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 08:55:43 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 08:55:43 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:43 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:43 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 09:03:15 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 09:03:15 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 09:03:15 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:15 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:15 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 09:05:02 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 09:05:02 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 09:05:02 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:02 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:02 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 09:22:02 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 09:22:02 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 09:22:02 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:22:02 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:22:02 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 09:25:48 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 09:25:48 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 09:25:48 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:25:48 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:25:48 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 09:51:58 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 09:51:58 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 09:51:58 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:51:58 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:51:58 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 09:52:51 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 09:52:51 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 09:52:51 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:52:52 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:52:52 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 09:55:35 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 09:55:35 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 09:55:35 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:55:35 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:55:35 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 10:03:18 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 10:03:18 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 10:03:18 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:18 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:03:18 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 10:05:27 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 10:05:27 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 10:05:27 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:05:27 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:05:27 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 10:07:34 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 10:07:34 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 10:07:34 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:07:34 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:07:34 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 10:11:42 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
2025-07-17 10:11:42 | INFO | src.anquant.py.util.logging | Logging initialized for database (type: general, file: D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log)
2025-07-17 10:11:42 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:11:42 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:11:42 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-17.log
2025-07-17 10:17:23 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\database_2025-07-17.log, handler ID: 5
