2025-07-19 19:05:40 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log, handler ID: 9
2025-07-19 19:05:40 | INFO | src.anquant.py.util.logging | Logging initialized for market_data_engine (type: market_data, file: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log)
2025-07-19 19:05:41 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:05:41 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:05:41 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-19.log
2025-07-19 19:08:36 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log, handler ID: 9
2025-07-19 19:08:36 | INFO | src.anquant.py.util.logging | Logging initialized for market_data_engine (type: market_data, file: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log)
2025-07-19 19:08:36 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:08:36 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:08:36 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-19.log
2025-07-19 19:16:06 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log, handler ID: 9
2025-07-19 19:16:06 | INFO | src.anquant.py.util.logging | Logging initialized for market_data_engine (type: market_data, file: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log)
2025-07-19 19:16:07 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:16:07 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:16:07 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-19.log
2025-07-19 19:23:29 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log, handler ID: 9
2025-07-19 19:23:29 | INFO | src.anquant.py.util.logging | Logging initialized for market_data_engine (type: market_data, file: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log)
2025-07-19 19:23:30 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:23:30 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:23:30 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-19.log
2025-07-19 19:42:42 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log, handler ID: 9
2025-07-19 19:42:42 | INFO | src.anquant.py.util.logging | Logging initialized for market_data_engine (type: market_data, file: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log)
2025-07-19 19:42:43 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:42:43 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:42:43 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-19.log
2025-07-19 19:43:49 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log, handler ID: 9
2025-07-19 19:43:49 | INFO | src.anquant.py.util.logging | Logging initialized for market_data_engine (type: market_data, file: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log)
2025-07-19 19:43:50 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:43:50 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:43:50 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-19.log
2025-07-19 19:53:05 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log, handler ID: 9
2025-07-19 19:53:05 | INFO | src.anquant.py.util.logging | Logging initialized for market_data_engine (type: market_data, file: D:\AlphaNivesh\ANQuant\logs\market_data_engine_2025-07-19.log)
2025-07-19 19:53:06 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:53:06 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:53:06 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-19.log
