2025-07-17 08:38:34 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 08:38:34 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 08:38:34 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:34 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:38:34 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 08:41:26 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 08:41:26 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 08:41:26 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:26 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:41:26 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 08:42:32 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 08:42:32 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 08:42:32 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:32 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:42:32 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 08:52:38 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 08:52:38 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 08:52:38 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:38 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:52:38 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 08:55:46 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 08:55:46 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 08:55:46 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:46 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 08:55:46 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:03:18 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 09:03:18 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 09:03:18 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:18 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:03:18 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 09:05:03 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 09:05:03 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 09:05:03 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 09:05:03 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
