2025-07-19 19:59:59 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 19:59:59 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 20:00:01 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:00:01 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:00:01 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 20:10:09 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 20:10:09 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
2025-07-19 20:10:12 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:10:12 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:10:12 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\angelone_2025-07-19.log
2025-07-19 20:13:11 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log, handler ID: 5
2025-07-19 20:13:11 | INFO | src.anquant.py.util.logging | Logging initialized for kafka_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\kafka_client_2025-07-19.log)
