2025-07-19 19:59:58 | INFO | src.anquant.py.util.logging | Logging initialized for redis_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-19.log)
2025-07-19 19:59:59 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:59:59 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 19:59:59 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\database_2025-07-19.log
2025-07-19 20:10:08 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-19.log, handler ID: 1
2025-07-19 20:10:08 | INFO | src.anquant.py.util.logging | Logging initialized for redis_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-19.log)
2025-07-19 20:10:09 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:10:09 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:10:09 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\database_2025-07-19.log
2025-07-19 20:13:09 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-19.log, handler ID: 1
2025-07-19 20:13:09 | INFO | src.anquant.py.util.logging | Logging initialized for redis_client (type: messaging, file: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-19.log)
2025-07-19 20:13:11 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:13:11 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-19 20:13:11 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\database_2025-07-19.log
