timestamp,open,high,low,close,volume
2024-11-04 00:00:00+05:30,55.75,55.93,54.0,54.73,23478
2024-11-05 00:00:00+05:30,55.0,56.61,54.82,55.72,42442
2024-11-06 00:00:00+05:30,55.32,56.45,54.83,55.75,69181
2024-11-07 00:00:00+05:30,56.0,56.5,55.5,56.1,19010
2024-11-08 00:00:00+05:30,55.1,56.65,55.1,55.62,29811
2024-11-11 00:00:00+05:30,56.0,56.05,53.91,54.09,40820
2024-11-12 00:00:00+05:30,55.1,55.1,53.4,53.55,38011
2024-11-13 00:00:00+05:30,52.5,53.75,52.35,52.56,36531
2024-11-14 00:00:00+05:30,53.4,53.45,52.25,52.41,20569
2024-11-18 00:00:00+05:30,52.41,52.92,51.51,51.98,22938
2024-11-19 00:00:00+05:30,52.7,53.0,52.0,52.63,10343
2024-11-21 00:00:00+05:30,52.94,52.94,51.5,51.55,26507
2024-11-22 00:00:00+05:30,52.3,52.4,51.39,52.27,20874
2024-11-25 00:00:00+05:30,53.89,53.89,52.6,52.95,16296
2024-11-26 00:00:00+05:30,53.59,53.59,52.6,52.83,18473
2024-11-27 00:00:00+05:30,53.44,55.39,52.4,54.25,85427
2024-11-28 00:00:00+05:30,54.15,55.25,52.65,53.2,63791
2024-11-29 00:00:00+05:30,53.2,55.6,53.0,54.46,80004
2024-12-02 00:00:00+05:30,55.8,55.8,54.1,54.58,43438
2024-12-03 00:00:00+05:30,54.94,55.45,54.51,54.85,60036
2024-12-04 00:00:00+05:30,56.5,56.5,54.91,55.02,52695
2024-12-05 00:00:00+05:30,56.4,56.4,54.67,54.92,37256
2024-12-06 00:00:00+05:30,55.8,55.8,54.53,55.02,24798
2024-12-09 00:00:00+05:30,55.92,55.92,54.74,54.99,40128
2024-12-10 00:00:00+05:30,55.7,59.79,55.51,58.83,461364
2024-12-11 00:00:00+05:30,59.0,59.21,57.3,58.67,102697
2024-12-12 00:00:00+05:30,59.8,59.8,57.0,57.24,62216
2024-12-13 00:00:00+05:30,57.96,58.06,56.02,57.83,27324
2024-12-16 00:00:00+05:30,58.95,58.95,56.5,57.24,76936
2024-12-17 00:00:00+05:30,57.6,57.97,55.5,55.92,43620
2024-12-18 00:00:00+05:30,56.95,58.5,55.74,57.74,63805
2024-12-19 00:00:00+05:30,55.4,57.0,55.4,56.37,32852
2024-12-20 00:00:00+05:30,56.79,56.79,53.71,54.05,197521
2024-12-23 00:00:00+05:30,54.85,54.85,52.59,53.12,59850
2024-12-24 00:00:00+05:30,53.99,53.99,52.59,52.69,29425
2024-12-26 00:00:00+05:30,52.91,53.89,50.6,53.3,41962
2024-12-27 00:00:00+05:30,53.3,55.45,52.97,54.25,85844
2024-12-30 00:00:00+05:30,54.88,54.88,53.12,53.44,11098
2024-12-31 00:00:00+05:30,53.99,54.2,53.16,53.95,5534
2025-01-01 00:00:00+05:30,54.2,54.46,53.22,54.16,42215
2025-01-02 00:00:00+05:30,55.11,55.11,54.13,54.7,16641
