timestamp,open,high,low,close,volume
2024-11-04 00:00:00+05:30,2.77,2.77,2.66,2.68,457054
2024-11-05 00:00:00+05:30,2.7,2.76,2.68,2.72,508831
2024-11-06 00:00:00+05:30,2.75,2.8,2.72,2.75,344448
2024-11-07 00:00:00+05:30,2.82,2.88,2.77,2.83,919397
2024-11-08 00:00:00+05:30,2.88,2.88,2.77,2.78,352242
2024-11-11 00:00:00+05:30,2.7,2.78,2.7,2.73,422685
2024-11-12 00:00:00+05:30,2.78,2.79,2.66,2.67,619314
2024-11-13 00:00:00+05:30,2.72,2.72,2.59,2.6,778175
2024-11-14 00:00:00+05:30,2.65,2.65,2.56,2.61,483745
2024-11-18 00:00:00+05:30,2.67,2.67,2.53,2.53,540228
2024-11-19 00:00:00+05:30,2.58,2.65,2.52,2.59,917764
2024-11-21 00:00:00+05:30,2.55,2.59,2.46,2.48,1518961
2024-11-22 00:00:00+05:30,2.47,2.59,2.47,2.54,672023
2024-11-25 00:00:00+05:30,2.59,2.63,2.51,2.59,930218
2024-11-26 00:00:00+05:30,2.64,2.71,2.6,2.62,697274
2024-11-27 00:00:00+05:30,2.71,2.71,2.57,2.62,688795
2024-11-28 00:00:00+05:30,2.62,2.74,2.62,2.67,613307
2024-11-29 00:00:00+05:30,2.73,2.73,2.68,2.69,344810
2024-12-02 00:00:00+05:30,2.73,2.75,2.63,2.67,891015
2024-12-03 00:00:00+05:30,2.69,2.75,2.67,2.69,481646
2024-12-04 00:00:00+05:30,2.74,2.74,2.65,2.7,768396
2024-12-05 00:00:00+05:30,2.74,2.74,2.67,2.69,852910
2024-12-06 00:00:00+05:30,2.71,2.83,2.7,2.77,762187
2024-12-09 00:00:00+05:30,2.8,2.82,2.75,2.77,923342
2024-12-10 00:00:00+05:30,2.82,2.84,2.75,2.77,562454
2024-12-11 00:00:00+05:30,2.79,2.79,2.69,2.73,772802
2024-12-12 00:00:00+05:30,2.72,2.75,2.7,2.71,305678
2024-12-13 00:00:00+05:30,2.71,2.75,2.65,2.69,661097
2024-12-16 00:00:00+05:30,2.74,2.74,2.68,2.72,565995
2024-12-17 00:00:00+05:30,2.73,2.74,2.66,2.67,633257
2024-12-18 00:00:00+05:30,2.69,2.69,2.61,2.62,672230
2024-12-19 00:00:00+05:30,2.65,2.66,2.59,2.61,472239
2024-12-20 00:00:00+05:30,2.61,2.65,2.56,2.58,551881
2024-12-23 00:00:00+05:30,2.62,2.62,2.51,2.53,514389
2024-12-24 00:00:00+05:30,2.55,2.59,2.53,2.56,296363
2024-12-26 00:00:00+05:30,2.6,2.63,2.56,2.58,403039
2024-12-27 00:00:00+05:30,2.6,2.63,2.58,2.6,375064
2024-12-30 00:00:00+05:30,2.63,2.7,2.59,2.67,630313
2024-12-31 00:00:00+05:30,2.7,2.76,2.63,2.72,590033
2025-01-01 00:00:00+05:30,2.78,2.82,2.73,2.76,467915
2025-01-02 00:00:00+05:30,2.79,2.79,2.71,2.71,388103
2025-01-03 00:00:00+05:30,2.76,2.77,2.67,2.67,528815
2025-01-06 00:00:00+05:30,2.67,2.71,2.54,2.56,532895
2025-01-07 00:00:00+05:30,2.56,2.6,2.53,2.54,358389
2025-01-08 00:00:00+05:30,2.55,2.59,2.46,2.51,989828
2025-01-09 00:00:00+05:30,2.5,2.55,2.47,2.49,565738
2025-01-10 00:00:00+05:30,2.51,2.53,2.31,2.37,1333169
2025-01-13 00:00:00+05:30,2.44,2.44,2.25,2.28,618791
2025-01-14 00:00:00+05:30,2.23,2.5,2.23,2.31,750458
2025-01-15 00:00:00+05:30,2.4,2.4,2.31,2.37,304033
2025-01-16 00:00:00+05:30,2.42,2.42,2.31,2.33,402832
2025-01-17 00:00:00+05:30,2.39,2.39,2.2,2.28,1296888
2025-01-20 00:00:00+05:30,2.27,2.37,2.27,2.33,339013
2025-01-21 00:00:00+05:30,2.34,2.39,2.3,2.35,330486
2025-01-22 00:00:00+05:30,2.37,2.37,2.3,2.31,300040
2025-01-23 00:00:00+05:30,2.35,2.35,2.31,2.34,237208
2025-01-24 00:00:00+05:30,2.35,2.37,2.3,2.31,286461
2025-01-27 00:00:00+05:30,2.33,2.34,2.23,2.23,1018225
2025-01-28 00:00:00+05:30,2.25,2.27,2.16,2.24,393871
2025-01-29 00:00:00+05:30,2.2,2.38,2.2,2.34,549605
2025-01-30 00:00:00+05:30,2.35,2.41,2.35,2.38,331245
2025-01-31 00:00:00+05:30,2.35,2.41,2.32,2.34,697224
2025-02-01 00:00:00+05:30,2.4,2.41,2.32,2.36,349890
2025-02-03 00:00:00+05:30,2.36,2.36,2.27,2.31,618115
2025-02-04 00:00:00+05:30,2.28,2.33,2.27,2.3,544557
2025-02-05 00:00:00+05:30,2.32,2.33,2.1,2.24,1080758
2025-02-06 00:00:00+05:30,2.25,2.32,2.25,2.27,268487
2025-02-07 00:00:00+05:30,2.27,2.3,2.2,2.23,521631
2025-02-10 00:00:00+05:30,2.26,2.27,2.21,2.22,300687
2025-02-11 00:00:00+05:30,2.2,2.26,2.15,2.17,604870
2025-02-12 00:00:00+05:30,2.2,2.21,2.0,2.04,1389226
2025-02-13 00:00:00+05:30,2.06,2.3,2.05,2.22,1282766
2025-02-14 00:00:00+05:30,2.29,2.29,2.11,2.12,625456
2025-02-17 00:00:00+05:30,2.19,2.19,2.0,2.02,989546
2025-02-18 00:00:00+05:30,2.13,2.14,2.0,2.04,1100425
2025-02-19 00:00:00+05:30,2.04,2.17,2.04,2.06,813338
2025-02-20 00:00:00+05:30,2.06,2.13,2.06,2.09,559489
2025-02-21 00:00:00+05:30,2.11,2.48,2.09,2.18,774958
2025-02-24 00:00:00+05:30,2.18,2.21,2.13,2.18,337653
2025-02-25 00:00:00+05:30,2.18,2.23,2.17,2.18,338793
2025-02-27 00:00:00+05:30,2.24,2.24,2.1,2.1,624320
2025-02-28 00:00:00+05:30,2.1,2.1,1.98,2.01,511481
2025-03-03 00:00:00+05:30,2.06,2.06,1.96,2.01,640329
2025-03-04 00:00:00+05:30,2.04,2.06,1.99,2.04,364608
2025-03-05 00:00:00+05:30,2.08,2.14,2.05,2.09,276054
2025-03-06 00:00:00+05:30,2.11,2.29,2.11,2.25,2040984
2025-03-07 00:00:00+05:30,2.29,2.29,2.1,2.18,770804
2025-03-10 00:00:00+05:30,2.2,2.22,2.11,2.12,521669
2025-03-11 00:00:00+05:30,2.15,2.29,2.09,2.15,751942
2025-03-12 00:00:00+05:30,2.16,2.25,2.1,2.13,607946
2025-03-13 00:00:00+05:30,2.18,2.18,2.08,2.08,1074550
2025-03-17 00:00:00+05:30,2.1,2.12,2.02,2.04,667184
2025-03-18 00:00:00+05:30,2.06,2.1,1.99,2.05,900830
2025-03-19 00:00:00+05:30,2.09,2.11,2.03,2.06,589895
2025-03-20 00:00:00+05:30,2.03,2.11,2.03,2.06,681083
2025-03-21 00:00:00+05:30,2.07,2.11,2.03,2.06,1089687
2025-03-24 00:00:00+05:30,2.07,2.14,2.07,2.08,1031854
2025-03-25 00:00:00+05:30,2.1,2.1,2.02,2.02,908454
2025-03-26 00:00:00+05:30,2.03,2.06,2.01,2.02,1387018
2025-03-27 00:00:00+05:30,2.02,2.05,1.98,1.99,974366
2025-03-28 00:00:00+05:30,2.03,2.03,1.92,1.99,1474556
2025-04-01 00:00:00+05:30,2.0,2.08,2.0,2.03,905401
2025-04-02 00:00:00+05:30,2.03,2.05,2.01,2.02,305092
2025-04-03 00:00:00+05:30,2.04,2.1,2.03,2.04,298415
2025-04-04 00:00:00+05:30,2.07,2.07,1.98,1.99,565222
2025-04-07 00:00:00+05:30,1.95,1.95,1.78,1.94,864024
2025-04-08 00:00:00+05:30,1.99,2.04,1.95,2.01,426740
2025-04-09 00:00:00+05:30,2.04,2.04,1.99,2.02,333960
2025-04-11 00:00:00+05:30,2.06,2.09,2.05,2.07,338602
2025-04-15 00:00:00+05:30,2.11,2.12,2.05,2.08,389371
2025-04-16 00:00:00+05:30,2.08,2.1,2.04,2.07,454466
2025-04-17 00:00:00+05:30,2.08,2.1,2.04,2.06,327393
2025-04-21 00:00:00+05:30,2.06,2.1,2.05,2.05,502254
2025-04-22 00:00:00+05:30,2.09,2.09,2.02,2.04,719359
2025-04-23 00:00:00+05:30,2.05,2.07,2.02,2.05,473308
2025-04-24 00:00:00+05:30,2.05,2.06,2.03,2.04,126518
2025-04-25 00:00:00+05:30,2.02,2.06,2.0,2.03,905224
2025-04-28 00:00:00+05:30,2.02,2.06,1.99,2.03,194238
2025-04-29 00:00:00+05:30,2.03,2.03,1.99,1.99,329799
2025-04-30 00:00:00+05:30,2.0,2.02,1.91,1.94,623279
