timestamp,open,high,low,close,volume
2024-11-04 00:00:00+05:30,51.57,52.9,51.09,51.27,314363
2024-11-05 00:00:00+05:30,51.97,51.97,50.63,51.37,385220
2024-11-06 00:00:00+05:30,51.93,53.08,51.38,52.96,479382
2024-11-07 00:00:00+05:30,54.4,54.4,52.46,52.73,981119
2024-11-08 00:00:00+05:30,53.46,53.47,51.93,51.97,401865
2024-11-11 00:00:00+05:30,52.96,52.97,51.3,51.62,305030
2024-11-12 00:00:00+05:30,51.62,52.17,50.75,50.92,318482
2024-11-13 00:00:00+05:30,51.36,51.36,49.41,49.59,615428
2024-11-14 00:00:00+05:30,49.6,50.25,49.5,49.65,1260921
2024-11-18 00:00:00+05:30,50.47,50.47,49.02,49.22,346885
2024-11-19 00:00:00+05:30,49.88,50.19,49.5,49.84,293801
2024-11-21 00:00:00+05:30,50.84,50.84,49.1,49.3,337159
2024-11-22 00:00:00+05:30,49.94,49.99,49.29,49.87,274845
2024-11-25 00:00:00+05:30,51.29,51.35,50.5,51.11,330098
2024-11-26 00:00:00+05:30,51.61,51.62,51.0,51.14,295834
2024-11-27 00:00:00+05:30,51.96,51.96,50.96,51.59,149626
2024-11-28 00:00:00+05:30,51.59,52.0,51.56,51.64,248876
2024-11-29 00:00:00+05:30,51.99,51.99,51.53,51.83,322392
2024-12-02 00:00:00+05:30,52.35,53.29,51.51,52.68,180911
2024-12-03 00:00:00+05:30,53.46,53.47,52.62,52.94,204553
2024-12-04 00:00:00+05:30,53.76,53.76,52.95,53.32,259398
2024-12-05 00:00:00+05:30,53.32,53.53,53.0,53.31,311298
2024-12-06 00:00:00+05:30,53.52,54.1,53.32,53.78,453825
2024-12-09 00:00:00+05:30,54.32,54.32,53.78,54.07,287451
2024-12-10 00:00:00+05:30,54.6,54.6,53.85,54.22,140462
2024-12-11 00:00:00+05:30,54.7,54.7,53.97,54.56,283955
2024-12-12 00:00:00+05:30,54.84,54.84,54.02,54.31,202664
2024-12-13 00:00:00+05:30,54.2,54.2,53.18,54.05,233018
2024-12-16 00:00:00+05:30,54.41,54.55,54.11,54.52,201513
2024-12-17 00:00:00+05:30,54.74,54.97,53.6,54.06,116721
2024-12-18 00:00:00+05:30,54.07,54.28,53.41,53.66,121726
2024-12-19 00:00:00+05:30,53.48,53.49,52.52,53.23,366287
2024-12-20 00:00:00+05:30,53.3,53.7,51.84,52.02,242848
2024-12-23 00:00:00+05:30,52.78,52.79,51.52,51.81,303006
2024-12-24 00:00:00+05:30,52.26,52.26,51.62,51.87,870390
2024-12-26 00:00:00+05:30,52.37,52.38,51.36,51.88,358358
2024-12-27 00:00:00+05:30,52.09,52.13,51.73,51.9,196919
2024-12-30 00:00:00+05:30,52.34,52.34,51.3,51.52,955959
2024-12-31 00:00:00+05:30,51.53,51.73,50.8,51.52,141099
2025-01-01 00:00:00+05:30,51.53,53.3,51.34,51.88,211498
2025-01-02 00:00:00+05:30,51.88,53.5,51.51,52.36,275745
2025-01-03 00:00:00+05:30,52.46,52.66,51.83,51.97,109326
2025-01-06 00:00:00+05:30,52.46,52.46,50.51,50.78,235561
2025-01-07 00:00:00+05:30,51.37,51.43,50.9,51.28,47966
2025-01-08 00:00:00+05:30,51.28,51.28,50.1,50.56,233874
2025-01-09 00:00:00+05:30,50.98,50.98,49.86,49.92,186281
2025-01-10 00:00:00+05:30,50.0,50.38,48.8,49.06,390857
2025-01-13 00:00:00+05:30,48.97,48.97,46.82,47.05,804094
