timestamp,open,high,low,close,volume
2024-11-04 00:00:00+05:30,106.95,106.95,101.8,102.75,98709
2024-11-05 00:00:00+05:30,104.0,106.89,104.0,105.97,101646
2024-11-06 00:00:00+05:30,106.35,108.09,105.8,107.45,117031
2024-11-07 00:00:00+05:30,107.95,108.48,105.55,105.76,78572
2024-11-08 00:00:00+05:30,106.8,107.19,103.55,105.49,108752
2024-11-11 00:00:00+05:30,103.91,105.06,101.77,102.22,175661
2024-11-12 00:00:00+05:30,103.95,106.22,103.0,103.77,98294
2024-11-13 00:00:00+05:30,103.77,103.99,97.9,99.48,201725
2024-11-14 00:00:00+05:30,99.98,101.74,99.74,100.4,74278
2024-11-18 00:00:00+05:30,101.9,102.68,98.81,101.46,131882
2024-11-19 00:00:00+05:30,102.66,104.5,101.86,103.79,179344
2024-11-21 00:00:00+05:30,103.9,104.5,102.25,103.84,118879
2024-11-22 00:00:00+05:30,101.16,101.95,100.0,100.83,166565
2024-11-25 00:00:00+05:30,102.69,102.69,100.0,100.15,139188
2024-11-26 00:00:00+05:30,100.3,102.0,100.1,101.6,120361
2024-11-27 00:00:00+05:30,101.7,103.11,101.35,102.37,79902
2024-11-28 00:00:00+05:30,102.59,104.7,102.29,102.97,117893
2024-11-29 00:00:00+05:30,103.0,103.7,101.87,102.97,77655
2024-12-02 00:00:00+05:30,103.0,104.0,102.01,103.04,79706
2024-12-03 00:00:00+05:30,102.97,105.0,102.97,104.38,51166
2024-12-04 00:00:00+05:30,104.98,105.84,103.3,104.95,102667
2024-12-05 00:00:00+05:30,104.95,105.67,104.0,104.78,64394
2024-12-06 00:00:00+05:30,105.19,105.68,104.0,104.6,55321
2024-12-09 00:00:00+05:30,104.05,105.0,103.03,103.29,80872
2024-12-10 00:00:00+05:30,103.9,107.1,103.55,106.58,139248
2024-12-11 00:00:00+05:30,107.5,108.75,105.0,105.43,134594
2024-12-12 00:00:00+05:30,106.0,107.39,103.0,103.63,87105
2024-12-13 00:00:00+05:30,103.0,103.95,102.0,102.79,66199
2024-12-16 00:00:00+05:30,103.44,103.85,102.48,102.66,123345
2024-12-17 00:00:00+05:30,101.01,106.0,98.2,104.01,160087
2024-12-18 00:00:00+05:30,104.3,104.3,100.01,100.68,91196
2024-12-19 00:00:00+05:30,100.01,102.38,98.28,101.07,193695
2024-12-20 00:00:00+05:30,101.6,101.9,99.15,100.48,90697
2024-12-23 00:00:00+05:30,100.9,101.68,98.15,98.7,83215
2024-12-24 00:00:00+05:30,99.69,100.0,96.75,97.96,136035
2024-12-26 00:00:00+05:30,99.25,99.3,97.0,97.35,73670
2024-12-27 00:00:00+05:30,97.5,98.25,97.0,97.27,45796
2024-12-30 00:00:00+05:30,97.49,98.01,95.7,96.88,42901
2024-12-31 00:00:00+05:30,98.0,98.7,97.15,98.36,29618
2025-01-01 00:00:00+05:30,99.68,101.27,98.86,100.27,66292
2025-01-02 00:00:00+05:30,101.0,101.6,99.2,99.66,60577
2025-01-03 00:00:00+05:30,100.94,100.94,99.66,100.06,15164
2025-01-06 00:00:00+05:30,100.98,102.01,96.0,96.85,66576
2025-01-07 00:00:00+05:30,96.99,99.93,96.99,99.56,42289
2025-01-08 00:00:00+05:30,99.8,99.8,96.4,96.96,68852
2025-01-09 00:00:00+05:30,97.99,97.99,96.41,97.2,23970
2025-01-10 00:00:00+05:30,97.5,97.5,92.55,93.23,94428
2025-01-13 00:00:00+05:30,90.52,92.99,89.75,90.82,96890
2025-01-14 00:00:00+05:30,90.2,94.3,90.2,93.41,52660
2025-01-15 00:00:00+05:30,93.99,94.89,92.02,92.74,32976
2025-01-16 00:00:00+05:30,95.99,98.28,95.51,97.03,89909
2025-01-17 00:00:00+05:30,96.99,97.88,95.41,97.33,23123
2025-01-20 00:00:00+05:30,99.5,103.0,99.0,100.58,150419
2025-01-21 00:00:00+05:30,102.0,103.0,98.0,98.59,83655
2025-01-22 00:00:00+05:30,100.6,100.6,95.24,96.6,74576
2025-01-23 00:00:00+05:30,98.0,98.55,95.15,95.66,74514
2025-01-24 00:00:00+05:30,96.42,96.81,93.62,94.37,35857
2025-01-27 00:00:00+05:30,95.99,95.99,92.31,92.85,47289
2025-01-28 00:00:00+05:30,94.1,94.95,87.11,90.88,76697
2025-01-29 00:00:00+05:30,90.95,97.0,90.3,96.33,76090
2025-01-30 00:00:00+05:30,96.9,96.9,95.16,95.41,25327
2025-01-31 00:00:00+05:30,96.0,96.0,94.52,95.22,32996
2025-02-01 00:00:00+05:30,95.9,96.0,94.01,94.41,32872
2025-02-03 00:00:00+05:30,94.41,96.0,93.35,94.5,41322
2025-02-04 00:00:00+05:30,95.81,97.5,95.12,96.38,51650
2025-02-05 00:00:00+05:30,97.9,98.61,95.9,96.47,31932
2025-02-06 00:00:00+05:30,97.95,99.59,97.1,98.19,92178
2025-02-07 00:00:00+05:30,98.19,98.19,93.91,94.86,85002
2025-02-10 00:00:00+05:30,97.85,98.04,91.41,92.02,113686
2025-02-11 00:00:00+05:30,93.0,93.23,87.6,89.89,78062
2025-02-12 00:00:00+05:30,90.4,93.0,86.6,90.52,77660
2025-02-13 00:00:00+05:30,90.55,94.7,88.51,93.04,79062
2025-02-14 00:00:00+05:30,93.04,93.3,89.6,90.32,55485
2025-02-17 00:00:00+05:30,91.88,91.88,87.07,88.28,47868
2025-02-18 00:00:00+05:30,90.6,90.6,84.67,85.3,92527
2025-02-19 00:00:00+05:30,85.9,89.1,84.91,86.53,82560
2025-02-20 00:00:00+05:30,86.99,89.0,85.15,87.53,110717
2025-02-21 00:00:00+05:30,87.1,89.69,86.21,86.66,73439
2025-02-24 00:00:00+05:30,84.66,86.35,84.24,85.54,41494
2025-02-25 00:00:00+05:30,85.54,85.99,83.93,84.18,40873
2025-02-27 00:00:00+05:30,85.0,85.0,83.16,83.86,38125
2025-02-28 00:00:00+05:30,84.39,84.39,78.54,79.32,126926
2025-03-03 00:00:00+05:30,80.0,81.49,78.43,80.87,82346
2025-03-04 00:00:00+05:30,79.0,82.8,79.0,81.41,55564
2025-03-05 00:00:00+05:30,82.5,84.73,81.24,84.16,60879
2025-03-06 00:00:00+05:30,85.5,86.86,85.0,85.4,55315
2025-03-07 00:00:00+05:30,85.9,88.4,85.45,88.11,48056
2025-03-10 00:00:00+05:30,88.8,89.75,84.01,84.54,36254
2025-03-11 00:00:00+05:30,85.38,85.38,82.99,83.24,60690
2025-03-12 00:00:00+05:30,84.01,86.91,83.3,84.39,54701
2025-03-13 00:00:00+05:30,84.6,85.49,83.78,83.9,38268
2025-03-17 00:00:00+05:30,86.34,86.34,82.87,83.11,41205
2025-03-18 00:00:00+05:30,84.9,89.4,83.82,86.82,149478
2025-03-19 00:00:00+05:30,89.0,92.1,87.2,89.82,122898
2025-03-20 00:00:00+05:30,90.5,91.5,88.0,88.22,97149
2025-03-21 00:00:00+05:30,88.82,91.0,88.82,89.82,129190
2025-03-24 00:00:00+05:30,90.74,92.8,89.67,90.13,76511
2025-03-25 00:00:00+05:30,90.13,91.1,87.2,87.27,124636
2025-03-26 00:00:00+05:30,87.98,92.0,86.01,90.37,174350
2025-03-27 00:00:00+05:30,90.3,91.62,87.5,88.15,218886
2025-03-28 00:00:00+05:30,88.25,90.55,85.6,86.31,141301
2025-04-01 00:00:00+05:30,85.91,93.85,85.86,91.08,237061
2025-04-02 00:00:00+05:30,91.79,93.15,89.61,91.42,70123
2025-04-03 00:00:00+05:30,91.3,92.03,90.0,91.07,85051
2025-04-04 00:00:00+05:30,91.95,91.95,87.61,88.14,79443
2025-04-07 00:00:00+05:30,83.6,86.24,79.61,85.22,181046
2025-04-08 00:00:00+05:30,87.0,87.99,84.99,86.79,61959
2025-04-09 00:00:00+05:30,86.79,86.79,84.8,85.51,35138
2025-04-11 00:00:00+05:30,86.35,87.3,86.19,86.83,38787
2025-04-15 00:00:00+05:30,87.55,92.0,87.55,91.35,140781
2025-04-16 00:00:00+05:30,92.35,93.1,90.39,90.98,69046
2025-04-17 00:00:00+05:30,91.95,92.15,90.61,91.34,50284
2025-04-21 00:00:00+05:30,92.99,92.99,91.2,92.38,52040
