timestamp,open,high,low,close,volume
2024-11-04 00:00:00+05:30,6.17,6.46,5.92,6.15,6057835
2024-11-05 00:00:00+05:30,6.15,6.45,6.15,6.37,5362686
2024-11-06 00:00:00+05:30,6.5,6.65,6.05,6.18,6380983
2024-11-07 00:00:00+05:30,6.14,6.14,5.87,5.87,4546589
2024-11-08 00:00:00+05:30,5.85,5.89,5.57,5.57,4587365
2024-11-11 00:00:00+05:30,5.29,5.56,5.29,5.29,2355762
2024-11-12 00:00:00+05:30,5.29,5.41,5.02,5.02,3302679
2024-11-13 00:00:00+05:30,5.0,5.27,4.94,5.26,6020696
2024-11-14 00:00:00+05:30,4.99,4.99,4.99,4.99,1017536
2024-11-18 00:00:00+05:30,4.74,4.74,4.74,4.74,1054552
2024-11-19 00:00:00+05:30,4.62,4.75,4.5,4.56,3987929
2024-11-21 00:00:00+05:30,4.56,4.78,4.4,4.78,1280475
2024-11-22 00:00:00+05:30,4.78,5.01,4.78,4.88,1482537
2024-11-25 00:00:00+05:30,4.95,4.95,4.64,4.69,1507361
2024-11-26 00:00:00+05:30,4.69,4.87,4.65,4.76,802415
2024-11-27 00:00:00+05:30,4.76,4.94,4.54,4.65,860171
2024-11-28 00:00:00+05:30,4.57,4.8,4.57,4.67,953384
2024-11-29 00:00:00+05:30,4.79,4.82,4.71,4.78,613781
2024-12-02 00:00:00+05:30,4.9,4.95,4.78,4.81,436742
2024-12-03 00:00:00+05:30,4.95,4.95,4.81,4.81,633532
2024-12-04 00:00:00+05:30,4.89,4.89,4.73,4.82,483433
2024-12-05 00:00:00+05:30,4.84,4.92,4.61,4.76,755462
2024-12-06 00:00:00+05:30,4.7,4.9,4.7,4.81,520426
2024-12-09 00:00:00+05:30,4.86,4.89,4.75,4.77,724177
2024-12-10 00:00:00+05:30,4.77,4.85,4.68,4.75,703828
2024-12-11 00:00:00+05:30,4.84,5.17,4.74,4.99,2021922
2024-12-12 00:00:00+05:30,5.17,5.17,4.86,4.9,714723
2024-12-13 00:00:00+05:30,5.0,5.0,4.82,4.91,446544
2024-12-16 00:00:00+05:30,4.85,4.98,4.85,4.86,435290
2024-12-17 00:00:00+05:30,4.86,4.94,4.75,4.83,282013
2024-12-18 00:00:00+05:30,4.8,4.82,4.67,4.75,603613
2024-12-19 00:00:00+05:30,4.72,4.72,4.65,4.66,433205
2024-12-20 00:00:00+05:30,4.66,4.77,4.6,4.62,338313
2024-12-23 00:00:00+05:30,4.62,4.73,4.51,4.55,551733
2024-12-24 00:00:00+05:30,4.59,4.78,4.54,4.59,494717
2024-12-26 00:00:00+05:30,4.59,4.64,4.51,4.54,327600
2024-12-27 00:00:00+05:30,4.54,4.62,4.47,4.56,479829
2024-12-30 00:00:00+05:30,4.75,4.75,4.45,4.5,359837
2024-12-31 00:00:00+05:30,4.5,4.95,4.45,4.76,420641
2025-01-01 00:00:00+05:30,4.78,4.89,4.68,4.71,268223
2025-01-02 00:00:00+05:30,4.8,4.83,4.7,4.71,205567
2025-01-03 00:00:00+05:30,4.79,4.79,4.55,4.58,333175
2025-01-06 00:00:00+05:30,4.5,4.58,4.33,4.4,761071
2025-01-07 00:00:00+05:30,4.33,4.47,4.33,4.4,263267
2025-01-08 00:00:00+05:30,4.4,4.4,4.3,4.38,197098
2025-01-09 00:00:00+05:30,4.31,4.38,4.27,4.31,200167
2025-01-10 00:00:00+05:30,4.36,4.36,4.02,4.13,437803
2025-01-13 00:00:00+05:30,4.05,4.07,3.91,3.95,726226
2025-01-14 00:00:00+05:30,3.72,4.3,3.72,4.18,372099
2025-01-15 00:00:00+05:30,3.97,4.38,3.97,4.38,145367
2025-01-16 00:00:00+05:30,4.38,4.49,4.16,4.32,136886
2025-01-17 00:00:00+05:30,4.21,4.32,4.2,4.2,195053
2025-01-20 00:00:00+05:30,4.27,4.29,4.18,4.25,128236
2025-01-21 00:00:00+05:30,4.2,4.27,4.15,4.16,85772
2025-01-22 00:00:00+05:30,4.16,4.25,4.0,4.16,166965
2025-01-23 00:00:00+05:30,4.16,4.35,4.02,4.14,255005
2025-01-24 00:00:00+05:30,3.95,4.19,3.95,4.04,243595
2025-01-27 00:00:00+05:30,4.01,4.02,3.83,3.95,262695
2025-01-28 00:00:00+05:30,3.92,4.04,3.75,3.95,251553
2025-01-29 00:00:00+05:30,3.92,4.04,3.9,3.98,152113
2025-01-30 00:00:00+05:30,3.99,4.05,3.91,4.01,134327
2025-01-31 00:00:00+05:30,3.97,4.04,3.96,4.02,163843
2025-02-01 00:00:00+05:30,4.06,4.08,4.0,4.0,123486
2025-02-03 00:00:00+05:30,3.96,4.16,3.8,3.97,158019
2025-02-04 00:00:00+05:30,3.97,4.09,3.8,4.02,203588
2025-02-05 00:00:00+05:30,4.02,4.04,3.93,3.96,142711
2025-02-06 00:00:00+05:30,3.92,4.05,3.9,3.98,115401
2025-02-07 00:00:00+05:30,4.06,4.06,3.93,3.96,93870
2025-02-10 00:00:00+05:30,4.05,4.05,3.95,3.97,93103
2025-02-11 00:00:00+05:30,3.99,4.0,3.8,3.86,241518
2025-02-12 00:00:00+05:30,3.86,3.87,3.66,3.76,209703
2025-02-13 00:00:00+05:30,3.83,3.83,3.72,3.79,90670
2025-02-14 00:00:00+05:30,3.8,3.85,3.6,3.67,216082
2025-02-17 00:00:00+05:30,3.75,3.75,3.48,3.49,280327
2025-02-18 00:00:00+05:30,3.48,3.54,3.45,3.48,186367
2025-02-19 00:00:00+05:30,3.48,3.54,3.31,3.46,191406
2025-02-20 00:00:00+05:30,3.45,3.63,3.41,3.63,190546
2025-02-21 00:00:00+05:30,3.78,3.81,3.7,3.79,244183
2025-02-24 00:00:00+05:30,3.8,3.97,3.72,3.88,120906
2025-02-25 00:00:00+05:30,3.79,3.9,3.79,3.87,44481
2025-02-27 00:00:00+05:30,3.77,3.77,3.67,3.67,182466
2025-02-28 00:00:00+05:30,3.6,3.67,3.48,3.53,248281
2025-03-03 00:00:00+05:30,3.6,3.6,3.35,3.36,254601
2025-03-04 00:00:00+05:30,3.22,3.52,3.22,3.47,176400
2025-03-05 00:00:00+05:30,3.47,3.64,3.4,3.44,222131
2025-03-06 00:00:00+05:30,3.44,3.44,3.35,3.42,436579
2025-03-07 00:00:00+05:30,3.4,3.59,3.4,3.54,187868
2025-03-10 00:00:00+05:30,3.61,3.61,3.5,3.51,109197
2025-03-11 00:00:00+05:30,3.55,3.55,3.33,3.43,178964
2025-03-12 00:00:00+05:30,3.5,3.58,3.37,3.38,210472
2025-03-13 00:00:00+05:30,3.5,3.5,3.27,3.29,271603
2025-03-17 00:00:00+05:30,3.29,3.34,3.12,3.12,411367
2025-03-18 00:00:00+05:30,3.0,3.08,2.97,3.05,242296
2025-03-19 00:00:00+05:30,3.09,3.2,2.89,3.13,445723
2025-03-20 00:00:00+05:30,3.22,3.28,3.1,3.24,357383
2025-03-21 00:00:00+05:30,3.28,3.35,3.22,3.31,254256
2025-03-24 00:00:00+05:30,3.35,3.35,3.16,3.18,465434
2025-03-25 00:00:00+05:30,3.11,3.18,3.02,3.06,393460
2025-03-26 00:00:00+05:30,3.06,3.09,2.9,3.01,419713
2025-03-27 00:00:00+05:30,3.03,3.03,2.85,2.91,332123
2025-03-28 00:00:00+05:30,2.91,2.96,2.76,2.81,500919
2025-04-01 00:00:00+05:30,2.82,2.95,2.82,2.95,143685
2025-04-02 00:00:00+05:30,3.08,3.09,3.01,3.09,83213
2025-04-03 00:00:00+05:30,3.09,3.24,3.01,3.21,229970
2025-04-04 00:00:00+05:30,3.34,3.34,3.16,3.24,224808
2025-04-07 00:00:00+05:30,3.09,3.13,3.07,3.09,153928
2025-04-08 00:00:00+05:30,3.15,3.19,2.93,3.14,140833
2025-04-09 00:00:00+05:30,3.22,3.22,3.01,3.13,80437
2025-04-11 00:00:00+05:30,3.14,3.2,3.05,3.15,68961
